kind	title	authors	publication_place_date	date	pdf	link	page_capture	doi
rassegna-stampa	Italo Calvino relu à la lumière des humanités digitales		«Le Journal», n. 151, 28 ottobre - 8 novembre 2018, p. 4	2018	Unige_151.pdf	https://www.unige.ch/lejournal/numeros/journal151/article-recherche-4/	http://archive.today/9WET3	
rassegna-stampa	Così si disegna il dubbio. Calvino diventa mappa		«La Lettura», n. 358, 7 ottobre 2018, pp. 16-17	2018	LaLettura_20181007.pdf			
rassegna-stampa	I racconti su rivista poi la necessità delle raccolte	Margherita Parigini	«La Lettura», n. 358, 7 ottobre 2018, p. 16	2018	LaLettura_20181007.pdf			
rassegna-stampa	La grafica per mettere in relazione i volumi	Tommaso Elli	«La Lettura», n. 358, 7 ottobre 2018, p. 17	2018	LaLettura_20181007.pdf			
visualizzazione	Il flusso dei racconti. Tutti i racconti di Italo Calvino		«La Lettura», n. 358, 7 ottobre 2018, pp. 18-19	2018				
rassegna-stampa	Nuova frontiera dell’analisi letteraria		RSI Radiotelevisione svizzera in «rsi.ch», Telegiornale del 22 ottobre 2018	2018		https://www.rsi.ch/play/tv/telegiornale/video/telegiornale?urn=urn:rsi:video:10963133&startTime=1421		
visualizzazione	Il tempo e le opere		«La Lettura», n. 368, 16 dicembre 2018, pp. 16-17	2018				
articolo-divulgativo	Nella biblioteca di Italo Calvino	Virginia Giustetto, Valeria Cavalloro	«La Lettura», n. 368, 16 dicembre 2018, pp. 16-17	2018	LaLettura_20181216.pdf			
visualizzazione	L'arcipelago dei nomi		«La Lettura», n. 368, 16 dicembre 2018, pp. 18-19	2018				
rassegna-stampa	Vedere i testi, leggere le immagini. Le visualizzazioni per "La Lettura"	Stefano Ghidinelli	in V. Spinazzola (a cura di), Tirature ’19 (2019), Milano, il Saggiatore, pp. 197-201	2019	Tirature-19_la-lettura.pdf	https://www.fondazionemondadori.it/wp-content/uploads/2019/03/Tirature-19_def.pdf	https://archive.is/wip/xmOoA	
rassegna-stampa	Vedere i testi, leggere le immagini. Le visualizzazioni per l’“Atlante Calvino”	Bruno Falcetto	in V. Spinazzola (a cura di), Tirature ’19 (2019), Milano, il Saggiatore, pp. 203-206	2019	Tirature-19_atlante-calvino.pdf	https://www.fondazionemondadori.it/wp-content/uploads/2019/03/Tirature-19_def.pdf	https://archive.is/wip/xmOoA	
articolo-scientifico	Metaphors as Knowledge activators in data visualization	Tommaso Elli, Angeles Briones, Beatrice Gobbo, Margherita Parigini, Virginia Giustetto, Valeria Cavalloro	in Proceedings of Cumulus Conference Roma, 2020	2020				