ID opera,title,year,lenght,come-dubbio,come-negazione,come-riformulazione,cosa-dubbio,cosa-negazione,cosa-riformulazione,senso-dubbio,senso-negazione,senso-riformulazione,come-dubbio,come-negazione,come-riformulazione,cosa-dubbio,cosa-negazione,cosa-riformulazione,senso-dubbio,senso-negazione,senso-riformulazione,come-dubbio,come-negazione,come-riformulazione,cosa-dubbio,cosa-negazione,cosa-riformulazione,senso-dubbio,senso-negazione,senso-riformulazione,come-dubbio,come-negazione,come-riformulazione,cosa-dubbio,cosa-negazione,cosa-riformulazione,senso-dubbio,senso-negazione,senso-riformulazione,prop_occ_x,prop_occ_y,cont_occ_x,cont_occ_y,cont_e_prop_occ_x,cont_e_prop_occ_y,prop_car_x,prop_car_y,cont_car_x,cont_car_y,cont_e_prop_car_x,cont_e_prop_car_y
S004,Angoscia in caserma,1945,19473,0,0,0.1111111111,0.5,0.1111111111,0,0.1666666667,0,0.1111111111,0,0,2,9,2,0,3,0,2,0,0,8.19,51.26,11.46,0,23.68,0,5.42,0,0,65,407,91,0,188,0,43,-0.0202270858845958,-0.035348823243326,-0.0190223573085556,-0.00634179432128244,0.00553369526828039,-0.0131654938433865,-0.0511560148140813,-0.0332792193232554,-0.0227494167710648,0.00010088843610413,-0.00408536860394167,-0.0241361310129756
S005,Andato al comando,1946,10457,0,0,0,0.6,0,0.2,0.2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,67.73,0,5.98,26.29,0,0,0,0,0,170,0,15,66,0,0,-0.0709058771029474,0.0147846884782088,-0.0353375839144083,-0.00576512732815409,-0.0233499820722053,-0.0347767669595821,-0.0829048276377649,-0.00130551620861494,-0.0303130408658431,-0.000170090364996017,-0.0260040340073027,-0.0348808640726707
S006,Di padre in figlio,1946,8291,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,41.06,0,0,0,0,58.94,0,0,0,101,0,0,0,0,145,-0.0262563682838876,-0.0262286832033287,-0.0383478517587394,-0.00338396030327011,-0.0278119589009649,-0.00678508007834943,-0.0148944388410578,-0.0475359328849271,-0.0305951248095738,-6.59116674683867e-05,-0.0142519203776036,0.000628989858444945
S007,Paura sul sentiero,1946,13175,0,0,0,0.7894736842,0.1578947368,0,0,0,0.05263157895,0,0,0,15,3,0,0,0,1,0,0,0,81.85,5.14,0,0,0,13.01,0,0,0,780,49,0,0,0,124,-0.0718254658814957,-0.0318543260384782,-0.0265215327818776,-0.0039629408056141,-0.0195632760016141,-0.035601763757978,-0.0797913043110928,-0.0211426413747503,-0.026003863583415,-0.0004642208839959,-0.0186392691350636,-0.0349734970073618
S009,Uomo nei gerbidi,1946,9042,0,0,0,0,0.75,0,0,0,0.25,0,0,0,0,3,0,0,0,1,0,0,0,0,67.67,0,0,0,32.33,0,0,0,0,203,0,0,0,97,0.0614076450081772,0.0265586829984953,-0.0336165267882461,-0.00354801127806739,-0.0421101633492539,0.0309861959784025,0.0670664071617886,-0.0605498072314668,-0.0279362075575995,-0.000671765807672427,-0.0220902526847878,0.0308215674601251
S010,Campo di mine,1946,9702,0,0,0.08695652174,0.4347826087,0.1739130435,0,0.1304347826,0.08695652174,0.08695652174,0,0,2,10,4,0,3,2,2,0,0,7.97,30.81,31.29,0,13.51,10.01,6.41,0,0,82,317,322,0,139,103,66,0.0159649694615377,-0.0962004711618581,-0.00259010421383695,0.000326461326413305,0.0225461294179107,0.00614915536543488,-0.00849760501816339,-0.0522734302065764,-0.0127305967711416,-0.00436085571296869,0.0101725166255342,-0.00567649285753759
S011,I fratelli Bagnasco,1946,9240,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,121,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0388415560355911,-0.00348848858341525,-0.0458181180908825,-0.0418237875625842,-0.113979906032912,0.00406945001032951,-0.0320499191042542,0.000135878330001252,-0.0434406385795908,-0.0471247443783836
S012,Ragionamento del cugino,1946,7490,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,-0.000608359984762735,0.0754244585811394,-0.0308055036845142,0.000465702499137909,-0.0683873273269331,0.0144543278701275,0.0187953208430845,0.0222871770927347,-0.0312421481005645,-4.48288791549498e-05,-0.0661798221714611,0.0184646160586484
S014,Alba sui rami nudi,1947,13871,0,0,0.07142857143,0.7142857143,0.1428571429,0,0,0,0.07142857143,0,0,1,10,2,0,0,0,1,0,0,1.79,74.89,20.63,0,0,0,2.69,0,0,12,501,138,0,0,0,18,-0.0531347604748643,-0.0377736521551989,-0.0281235993839786,-0.0015663425509186,-0.0121950221289571,-0.025704800035143,-0.0846925472009394,-0.0179265861923093,-0.0266493443611498,-0.000652059202618064,-0.0199016588091848,-0.041721917326448
S015,Come non fui Noè (Buon a nulla),1947,9027,0,0,0.1111111111,0.4444444444,0.1111111111,0.2222222222,0,0,0.1111111111,0,0,1,4,1,2,0,0,1,0,0,21.91,25.53,24.68,23.62,0,0,4.26,0,0,103,120,116,111,0,0,20,-0.0134942273945871,-0.000781011746214097,-0.0297884359517445,-0.0011807126696407,0.000681670978415692,-0.0119467823188874,0.0106463450561002,0.0171323280735749,-0.0246585413191469,0.00202086173879042,-0.00458959603176497,0.000771516962360755
S016,Ultimo viene il corvo,1947,10809,0,0,0,0.75,0.2,0,0.05,0,0,0,0,0,15,4,0,1,0,0,0,0,0,63.61,27.13,0,9.26,0,0,0,0,0,680,290,0,99,0,0,-0.0745305521448898,-0.0275548411607278,-0.0242366774929686,-0.00678704286005564,-0.0190745873923061,-0.0396127525449686,-0.0785445722746236,-0.0213116434056868,-0.0216205074874523,-0.00142491952296073,-0.0131185671048671,-0.0431083646715765
S017,Visti alla mensa,1947,8658,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,51.56,48.44,0,0,0,0,0,0,0,33,31,0,0,0,0,-0.0555025916218001,-0.0207019425560627,-0.0380822204593211,-0.00363207244919708,-0.0313628063599486,-0.0293346422467325,-0.0713513873358281,-0.0206952842480253,-0.0320027092292001,6.05038470547334e-05,-0.0254664360889129,-0.0394941661648438
S018,L'occhio del padrone,1947,10063,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,16,0,0,0,0,0,-0.106878567777657,-0.0180735747855005,-0.0398191068344966,-0.00364140759477095,-0.0465050987778503,-0.041517265948353,-0.113979906032912,0.00406945001032949,-0.032680588444881,0.000197865070920981,-0.0438817226187647,-0.0469253928302659
S019,Come un volo d'anitre,1947,11326,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,23,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0393309757758981,-0.0035630141977701,-0.0461652254142194,-0.0416474087260175,-0.113979906032912,0.00406945001032951,-0.0326386465491003,0.000192788314525089,-0.0438544383066234,-0.0469355937246648
S020,La fame a Bévera,1947,11391,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,34,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0393309757758981,-0.00356301419777009,-0.0461652254142194,-0.0416474087260175,-0.113979906032912,0.00406945001032951,-0.0325726905978134,0.000184846947312573,-0.0438107498476709,-0.0469532529205228
S021,Furto in una pasticceria,1947,14106,0,0,0,0.6,0.2,0,0.2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,37.55,27.07,0,35.37,0,0,0,0,0,86,62,0,81,0,0,-0.0620776755984805,-0.0237512932268831,-0.0350888120739695,-0.00591463143109189,-0.0209039923684182,-0.0315789770024858,-0.0430739685104617,-0.0292841056703425,-0.0296327642660639,-0.000426091285449159,-0.0136087982199746,-0.0239189179082611
S022,Un bastimento carico di granchi,1947,9906,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,62.7,0,37.3,0,0,0,0,0,0,158,0,94,0,0,0,-0.0716559827352758,0.0550889815245974,-0.0383316483760868,-0.00347060531326641,-0.0359715918479412,-0.0337480888782149,-0.0664761357063575,0.0748880279484138,-0.0303178256558275,3.04438759276013e-06,-0.0312414622741791,-0.032545619450129
S023,I figli poltroni,1948,9860,0,0,0,0.6666666667,0,0,0.3333333333,0,0,0,0,0,2,0,0,1,0,0,0,0,0,39.09,0,0,60.91,0,0,0,0,0,95,0,0,148,0,0,-0.085904858871521,-0.0132283526914771,-0.0373039107693559,-0.00601727202278111,-0.0345469597771155,-0.0347045956858495,-0.0558712035124063,-0.0143601586497711,-0.0295184410751697,-0.000504607262377949,-0.02905199898612,-0.0220746275329555
S024,Il giardino incantato,1948,8487,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,293,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0388415560355911,-0.00348848858341528,-0.0458181180908824,-0.0418237875625842,-0.113979906032912,0.0040694500103295,-0.0310171522263845,7.1240855749492e-05,-0.0426924904908848,-0.0475783647938364
S026,Il bosco degli animali,1948,15495,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,223,0,0,0,0.000971214914684417,0.163790421161898,-0.0373293469857473,-0.00348202958356028,-0.0682138340416676,0.0076444756122344,0.0550391676228371,0.149986743679571,-0.0291915146442598,3.55025297198508e-05,-0.0578649341992897,0.0260673614173507
S027,Si dorme come cani,1948,12910,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,42,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0398191068344966,-0.00364140759477096,-0.0465050987778503,-0.0415172659483531,-0.113979906032912,0.00406945001032948,-0.0325246712774528,0.000179264197947649,-0.0437784033621092,-0.0469686535146486
S028,Com'era grande il mare,1948,3554,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,315,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0378601223399342,-0.00336260025579479,-0.0451181988953885,-0.0421962421560663,-0.113979906032912,0.00406945001032948,-0.0308859123619679,5.33973518957847e-05,-0.0425996021557414,-0.0476430018174257
S029,Il gatto e il poliziotto,1948,12933,0,0,0,0.7857142857,0.1428571429,0,0.07142857143,0,0,0,0,0,11,2,0,1,0,0,0,0,0,92.52,1.63,0,5.86,0,0,0,0,0,853,15,0,54,0,0,-0.0780060005488602,-0.02783603578827,-0.0295200427461401,-0.006070898861826,-0.0218372154926695,-0.0387389430214004,-0.106231853806266,-0.0029638838931355,-0.0265841756427566,-0.000365653274323913,-0.0323509849918649,-0.0476320833744073
S030,Pranzo con un pastore,1948,14313,0,0,0,0.25,0.25,0.25,0.1666666667,0,0.08333333333,0,0,0,3,3,3,2,0,1,0,0,0,20.12,19.63,17.97,34.38,0,7.91,0,0,0,206,201,184,352,0,81,0.00708102725748604,0.0265200137800579,-0.0238386254536165,-0.00833042368397358,-0.00308846398132592,-0.00420316615255757,0.0176086520926603,0.00169975007755202,-0.0177209306475494,-0.00274748602112535,0.00331112693414059,0.00516831559454787
S031,Voglia di mare,1948,5327,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,50,0,0,0,0,0.0158858248637972,0.0495382842488722,-0.0385673747068938,-0.00370861793108021,-0.0635541263112321,0.0100732940679786,0.0221194631539799,-0.0165184569556443,-0.0318464322107991,9.81885602485229e-06,-0.0508629744385622,0.00601223743797528
S033,Chi ha messo la mina nel mare?,1948,10473,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,238,0,0,0,0.0009712149146844,0.163790421161898,-0.0373293469857473,-0.00348202958356028,-0.0682138340416676,0.0076444756122344,0.0550391676228372,0.149986743679571,-0.0289509547790745,2.75097872149664e-05,-0.0576979308294589,0.0261275440189578
S035,Freddo a Napoli,1949,8005,0,0,0,0.75,0.25,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,21.15,78.85,0,0,0,0,0,0,0,44,164,0,0,0,0,-0.0761436740797842,-0.0264244967886991,-0.0371073250702025,-0.00347752268331636,-0.0310358233516574,-0.0362196713929689,-0.0171022208734576,-0.0233742168717656,-0.0294522968949481,-0.000464411125806133,-0.0297670184957906,-0.0135231529568342
S036,Lasciare Anna,1949,9089,0.1,0,0,0.5,0.4,0,0,0,0,1,0,0,5,4,0,0,0,0,3.66,0,0,72.63,23.71,0,0,0,0,17,0,0,337,110,0,0,0,0,-0.0471649495478202,-0.0353854465202505,-0.0249309351501691,-0.00226603217382777,-0.0179790010471077,-0.0232890304081328,-0.0902203909549467,-0.0166090150078072,-0.0258852881702041,-0.000814399632765774,-0.0225729069124315,-0.044738243075045
S037,"Un pomeriggio, Adamo",1949,16625,0,0,0,0.5,0.1666666667,0,0.3333333333,0,0,0,0,0,3,1,0,2,0,0,0,0,0,54.21,16.32,0,29.47,0,0,0,0,0,103,31,0,56,0,0,-0.0545381634263113,-0.0182233438293816,-0.0331074403961671,-0.00875112125202622,-0.0189859569782408,-0.0282829884840842,-0.0693286086939707,-0.0239346371478544,-0.0305624313953586,-0.000205769631459803,-0.0182821451882337,-0.0325689563529802
S038,La casa degli alveari,1949,7418,0,0,0,0.25,0.625,0,0,0.125,0,0,0,0,2,5,0,0,1,0,0,0,0,6.27,78.06,0,0,15.67,0,0,0,0,22,274,0,0,55,0,0.0362880320464292,-0.0772329973165232,-0.0242094121955426,0.000109486067895699,-0.0269952061626738,0.0202024259530529,0.0269845962800724,-0.0392987335117038,-0.0241067671448663,-0.00309041808611938,-0.0347552104973263,0.0127582086322031
S039,La stessa cosa del sangue,1949,12987,0,0,0,0.3,0.1,0.2,0.4,0,0,0,0,0,3,1,2,4,0,0,0,0,0,15.69,12.94,17.25,54.12,0,0,0,0,0,40,33,44,138,0,0,-0.0195167442987425,0.0302653384219623,-0.0263020204191989,-0.0142346037343955,-0.0116359256395646,-0.01430353373911,0.0169051387918646,0.0153878372864375,-0.0287134393367949,-0.000620435817585921,-0.01682223607841,0.00781385795464225
S040,Attesa della morte in un albergo,1949,15582,0,0,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,65.93,0,34.07,0,0,0,0,0,0,327,0,169,0,0,0,-0.0853584663114227,0.0331823305430138,-0.0353866928123487,-0.00318831474246597,-0.0337761572131172,-0.0392848806207684,-0.0701924128613623,0.0701390801022734,-0.0281050824114763,-0.000111057383593449,-0.0297399676934862,-0.034249123014681
S041,Uno dei tre è ancora vivo,1949,14887,0,0,0,0.7692307692,0.07692307692,0.1538461538,0,0,0,0,0,0,10,1,2,0,0,0,0,0,0,67.85,18.83,13.32,0,0,0,0,0,0,382,106,75,0,0,0,-0.0790709518709181,-0.00227094205559853,-0.0307974713690504,-0.00332061102341133,-0.0222323004121972,-0.0391905773898654,-0.072178145579669,0.0133594259035788,-0.0273229862684325,-0.000525225971531698,-0.0149119286229248,-0.0388367892439692
S042,L'avventura di un soldato,1949,19767,0,0.01754385965,0.01754385965,0.4210526316,0.2456140351,0.0350877193,0.08771929825,0.05263157895,0.1228070175,0,1,1,24,14,2,5,3,7,0,0.62,0.98,21.87,33.58,5.95,9.79,7.91,19.3,0,27,43,956,1468,260,428,346,844,0.0111352066958758,-0.0679420078532268,0.0465047206363904,-0.0102244623894442,0.054795287855541,-0.00905373590621011,0.0250967205955422,-0.0479117898952944,0.0436040994202687,-0.0106479586490082,0.0523900596809952,0.00834813340112222
S043,Desiderio in novembre,1949,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,97,0,0,0,0.000971214914684388,0.163790421161898,-0.0388164716428507,-0.00354555246988046,-0.0693199016899898,0.00767418679958543,0.0550391676228372,0.149986743679571,-0.0312153208898281,8.99453711047899e-05,-0.0593286370343942,0.0255171637300405
S044,Lettera ad Amelia sui dischi volanti,1950,7633,0,0,0,0.4444444444,0.4444444444,0,0.1111111111,0,0,0,0,0,4,4,0,1,0,0,0,0,0,60.96,31.02,0,8.02,0,0,0,0,0,456,232,0,60,0,0,-0.0409341679942056,-0.0190902053206537,-0.0294028112260328,-0.00610191489589724,-0.0183135257746663,-0.0259697035599265,-0.0762853172743403,-0.0217894328881714,-0.0246635827370603,-0.00107820543002722,-0.0146950946237458,-0.0420349045918827
S045,Storia del soldato che portò il cannone a casa,1950,11610,0,0,0,0.75,0,0.25,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,73.75,0,26.25,0,0,0,0,0,0,59,0,21,0,0,0,-0.0888953478720008,0.0210445666732816,-0.0373571884403059,-0.0033195478022598,-0.0344513078445478,-0.040122752996252,-0.0781730683091203,0.057108328897927,-0.0320849404787036,0.000134099615033542,-0.0319002818965422,-0.0366525754636154
S046,"Pesci grossi, pesci piccoli",1950,16862,0,0,0,0.3333333333,0.6666666667,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,65.77,34.23,0,0,0,0,0,0,0,196,102,0,0,0,0,-0.029886910334184,-0.0087409496006289,-0.036335482570688,-0.00365334441829473,-0.0327691423205683,-0.0164977036464457,-0.0843223647330813,-0.0171368050045015,-0.0297021087909605,-0.000295142891383449,-0.0246678954880961,-0.0438483345642378
S047,Cimitero di biciclette,1950,12416,0,0,0.2,0,0.2,0.4,0.2,0,0,0,0,1,0,1,2,1,0,0,0,0,23.81,0,31.97,18.37,25.85,0,0,0,0,35,0,47,27,38,0,0,0.0470761413294575,0.0874775651970019,-0.0311536391883665,-0.00409911605129751,-0.02921859368625,0.0219872983100027,0.0597275351871808,0.00580624256557644,-0.0296455184216585,0.000418100508883299,-0.0212418408030756,0.0255735401112714
S048,Mai nessuno degli uomini lo seppe,1950,15006,0,0,0,0.4,0,0.4,0,0,0.2,0,0,0,2,0,2,0,0,1,0,0,0,20,0,60,0,0,20,0,0,0,38,0,114,0,0,38,-0.0189304783901285,0.0375869209053706,-0.034899765341859,-0.00307815309148781,-0.0177447855141801,-0.0106189592525523,0.0402852829582018,0.0754856106244091,-0.0303044666106635,-5.08516345596049e-07,-0.0166628556492995,0.0180551781333802
S049,Il reggimento smarrito,1951,10193,0,0,0.5,0,0,0.25,0,0,0.25,0,0,2,0,0,1,0,0,1,0,0,46.09,0,0,10.72,0,0,43.19,0,0,159,0,0,37,0,0,149,0.0853742184058169,0.0754913417325574,-0.0327192576320312,0.00116696393830057,-0.0336914072583871,0.0490427965606964,0.0993643487507943,-0.0231648381764513,-0.0255627720153,0.00410381388984939,-0.019777363396836,0.0597177473413033
S050,L'avventura di una bagnante,1951,21333,0,0,0,0.3870967742,0.1935483871,0.3870967742,0.03225806452,0,0,0,0,0,12,6,12,1,0,0,0,0,0,47.1,23.18,27.66,2.06,0,0,0,0,0,1209,595,710,53,0,0,-0.0363207766617258,0.0368591697531577,-0.00659119302965305,-0.0267722149650946,-0.00254426000524529,-0.0337303948504465,-0.0426442541632095,0.0369429097343195,-0.00320112245171184,-0.00249922590171462,0.00255079691584937,-0.0348216266021913
S051,Un compagno venuto da lontano,1952,8251,0,0,0.2,0.2,0,0,0.6,0,0,0,0,1,1,0,0,3,0,0,0,0,13.24,38.33,0,0,48.43,0,0,0,0,38,110,0,0,139,0,0,0.0141180934371965,0.016711106577693,-0.0313746755121592,-0.00986209100103461,-0.0309504245814424,0.0165347994695918,-0.0413625197868741,-0.023590412990856,-0.0283652920121076,0.000200823527265573,-0.021996238762268,-0.0139075363031577
S052,Un bel gioco dura poco,1952,11940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,42,0,0,0,0.000971214914684358,0.163790421161898,-0.0388164716428507,-0.00354555246988047,-0.0693199016899899,0.00767418679958543,0.0550391676228372,0.149986743679571,-0.0321005376016965,0.000143456068128384,-0.0599994041767615,0.0252929254583594
S053,Funghi in città,1952,6506,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,87.66,12.34,0,0,0,0,0,0,0,135,19,0,0,0,0,-0.0555025916218001,-0.0207019425560627,-0.0380822204593211,-0.00363207244919708,-0.0313628063599486,-0.0293346422467325,-0.100679828490698,-0.00737579038280581,-0.0316134206945201,5.36466892583291e-05,-0.0311584437221167,-0.0453683372647227
S054,La formica argentina,1952,71831,0,0.04761904762,0.04761904762,0.5238095238,0.09523809524,0.1666666667,0.04761904762,0,0.07142857143,0,2,2,22,4,7,2,0,3,0,5.17,1.34,38.78,4.63,36.36,4.8,0,8.92,0,154,40,1156,138,1084,143,0,266,-0.0346234754175519,-0.00886813682744549,0.0156128225841767,-0.00124964402356902,0.0236377079260491,-0.032568930562001,-0.0149442213244703,0.0483165458745605,0.014381252031776,0.00779914471967462,0.0174499535072303,-0.0182110972647735
S056,La pietanziera,1952,7069,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,124,0,0,0.00874515909600503,0.0790807035015935,-0.036278440740156,-0.00903534952527502,-0.0649202587926737,0.0157034838018152,0.0285323480811641,-0.0017724041863982,-0.0305183157471733,-0.000320122642162931,-0.0569032695425783,0.0237899441418109
S057,Gli occhi del nemico,1952,7070,0,0,0,0.6666666667,0.3333333333,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,43.86,56.14,0,0,0,0,0,0,0,50,64,0,0,0,0,-0.06918380550901,-0.0254469471683422,-0.0375954299350348,-0.00355298377159349,-0.0313044657189864,-0.0340609523277418,-0.0611270935501952,-0.0218986757625173,-0.0312859371520098,-8.12687240887131e-05,-0.0244637816681073,-0.0358300121987272
S058,La fabbrica occupata,1952,7735,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66,0,0,0,0,0.0158858248637972,0.0495382842488722,-0.0385673747068938,-0.00370861793108022,-0.0635541263112321,0.0100732940679786,0.0221194631539799,-0.0165184569556443,-0.0315478530929699,-5.31312566356048e-05,-0.0506353977523693,0.00598440159585574
S059,La ragazza licenziata,1952,7919,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,38.54,0,0,0,61.46,0,0,0,0,37,0,0,0,59,0,0,0.0523080037528693,0.0616183819880628,-0.0358207940926199,-0.00432649946402004,-0.0535464673094116,0.0384314304231634,0.050541367561048,-0.0175785656543698,-0.03050320387585,0.000616980731404425,-0.0499165588074504,0.037451545604
S060,Le disgrazie di un paese,1953,6734,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,59,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0398191068344966,-0.00364140759477096,-0.0465050987778503,-0.0415172659483531,-0.113979906032912,0.00406945001032949,-0.0324225080955089,0.000167445221393549,-0.043707790128395,-0.0470015475711539
